Date,Equal Weight (1/N),Buy-and-Hold SPY,Vanilla PPO,PPO + DeepAR + TPG,MacroHRL (Ours)
2023-09-07,109006.53530828876,117695.08428013048,107407.10699260097,107105.5890376602,109489.07572756792
2023-09-08,109053.04654465677,117872.33623951407,107435.72272879344,107144.21963540687,109556.12166195796
2023-09-11,109566.1676288001,118647.553044287,107916.03205590813,107615.58699293002,110196.6416558557
2023-09-12,109221.01059202499,117996.69271953125,107582.31463226448,107182.51983408253,109671.370376215
2023-09-13,109082.20868731568,118134.27932181075,107422.48352909104,107071.11335273997,109670.0524523104
2023-09-14,109753.43278223398,119152.86535103507,108092.51342230268,107669.60939671168,110404.56778422759
2023-09-15,109174.07850219999,117717.28454199851,107476.49388066129,107043.9465352056,109533.5143355414
2023-09-18,109176.60647438369,117786.31960340647,107468.82088332728,107028.17541466554,109546.2045067607
2023-09-19,108832.4570463326,117542.0500303701,107104.95685483566,106710.35598194986,109249.8493908424
2023-09-20,108476.0468608843,116461.44832407615,106776.07800929091,106365.57658712665,108641.66880198133
2023-09-21,106538.7439191432,114536.51972255259,104838.01361524858,104566.18448309948,106754.43279464693
2023-09-22,106752.28124336492,114279.00335413196,105042.47609565365,104777.66041546312,106867.98982557205
2023-09-25,106326.4268293188,114759.5477382327,104663.86760000738,104420.93284524909,106707.48600049276
2023-09-26,105120.14155092167,113073.59499352836,103451.68377395165,103219.11979316275,105411.88894722378
2023-09-27,104815.59185580243,113118.71246150801,103137.40375531327,102912.93227846781,105237.64744623197
2023-09-28,105305.4785200535,113774.53304004202,103606.23826950724,103365.37153350066,105805.85328595193
2023-09-29,105140.41798021228,113498.39279441026,103434.52412256217,103205.0383608056,105658.46352776671
2023-10-02,104307.29329851565,113453.25865330861,102582.71272033047,102446.0477176319,105166.00614568852
2023-10-03,102863.03076783752,111934.57900450459,101150.4776924178,100974.39836136514,103656.59061930935
2023-10-04,103519.65454859473,112749.66958040591,101768.7052372806,101606.71820434667,104410.5532248066
2023-10-05,103635.30054540912,112707.20313881527,101864.01923958687,101695.5163585829,104419.61067611547
2023-10-06,104299.71206451234,114045.35455977375,102532.34064410703,102475.14962050595,105058.27232246983
2023-10-09,105153.23926371976,114775.48724281086,103339.71377351237,103068.90737779123,105961.84357284747
2023-10-10,105682.7101698319,115372.8768654931,103871.8576100073,103552.55403179799,106416.28135799778
2023-10-11,106569.16203524938,115845.47650698764,104744.28649861706,104339.34523875371,107275.59049980663
2023-10-12,105514.44031317413,115139.23640769588,103674.77903314395,103380.93539842816,106207.8845213372
2023-10-13,105728.1725004372,114565.73103219799,103974.56873992863,103530.24424476404,106439.4527760056
2023-10-16,106087.8932280624,115771.13105624063,104239.12893556758,103810.83856892156,106689.4999870113
2023-10-17,105814.13143233408,115765.80399377963,103960.20518191258,103564.19668358898,106374.24937475711
2023-10-18,104762.75376456509,114223.22342466927,102894.41578068878,102587.67559645731,105363.9157964154
2023-10-19,103867.21871976077,113219.63486863332,101939.60856206698,101935.02593748223,104496.10481295166
2023-10-20,103290.16330286398,111828.37121772315,101325.2944094014,101326.71729420553,103953.78541804757
2023-10-23,103342.86526748611,111634.53783856651,101398.49671407783,101300.44598972582,104106.53661732737
2023-10-24,104205.52656522872,112476.22204396802,102252.11673151374,102016.98071843924,104929.68294976617
2023-10-25,102850.02958811863,110861.93037737778,100932.41080693979,100824.51626105433,103538.22061096776
2023-10-26,102803.2863489442,109534.39973509745,100908.59172286936,100742.31723722837,103417.23579710812
2023-10-27,102630.2923600552,109037.90750985758,100735.71596348155,100869.34762750188,103339.62086046165
2023-10-30,103179.73919040822,110341.54556839258,101249.68015506375,101025.01621605088,103786.79466866478
2023-10-31,103415.43893091129,111034.50552605622,101449.60249668125,101021.62901749644,103949.28703482494
2023-11-01,104461.67388426328,112218.66399274257,102413.23887081839,101730.7162784549,105043.20111021282
2023-11-02,106361.78246508671,114369.2632997743,104241.04383239626,103268.07671015694,106856.62404436838
2023-11-03,107637.66962458247,115412.7006172557,105451.47578052075,104345.13002545445,107987.85412401632
2023-11-06,107280.5318881612,115678.2034110874,105101.26707115096,103895.37164577251,107608.28621073424
2023-11-07,107373.52361531346,116007.42254042695,105207.27434981354,103878.51059004621,107821.6995316606
2023-11-08,107430.62356275639,116092.39710641309,105247.81945618977,103830.57073842296,107957.49857440617
2023-11-09,106544.36002931229,115187.01323862562,104348.80140857749,103042.98065865767,107019.2003875518
2023-11-10,107324.87284225257,116984.48415945047,105146.5199120867,103599.73204454234,107848.39031446025
2023-11-13,107221.45218735156,116872.97431989093,105035.75035059072,103474.25931232383,107745.04655035825
2023-11-14,109771.97593846115,119140.41052894322,107528.53666275372,105761.71821128784,110052.4424576795
2023-11-15,109672.23344600432,119392.62484458573,107379.26167388688,105637.23077338806,109846.47715665713
2023-11-16,109873.93536811834,119538.6647196907,107552.91837014828,105753.99014686036,110131.43821147965
2023-11-17,110181.43157140161,119687.33061150182,107824.71540047202,106053.38433379817,110451.00431999954
2023-11-20,110855.67707588704,120608.64564730655,108455.417698422,106722.77036755266,111130.52163552074
2023-11-21,110668.90293336024,120345.78554330293,108243.47464324674,106444.2750910086,110945.04691463709
2023-11-22,110865.81409995336,120810.43210563033,108426.27234756321,106662.18102872776,111179.28382812152
2023-11-24,110901.87043510927,120884.76921981637,108472.01097763563,106656.05303071752,111117.04333650695
2023-11-27,111156.6484870355,120667.05993003634,108704.30532669219,106691.1734510162,111373.155662542
2023-11-28,111692.7773743191,120786.53952188499,109206.20020759519,107054.94183423587,111806.35613110119
2023-11-29,111986.52387601697,120701.56495589887,109461.19742664714,107276.92174782185,112136.78596522342
2023-11-30,111879.13474207665,121176.82396034342,109343.15436412484,107178.19390879228,111935.55238706649
2023-12-01,113173.30308785825,121893.70151143528,110634.88207729075,108277.0109781622,113155.44745924331
2023-12-04,112402.91696592623,121253.82043747949,109900.9766433396,107545.22514154475,112400.27907083493
2023-12-05,112467.74454705887,121229.92785373415,109948.40204474937,107627.925069177,112635.02971334806
2023-12-06,112553.49416158009,120741.41371734435,110050.71080911136,107717.13412116452,112767.54748632867
2023-12-07,113000.87099536746,121662.71208002711,110512.04132770363,108078.02168351055,113187.89935978223
2023-12-08,112750.36891106142,122185.75625196236,110230.92076747621,107903.632162087,112988.0250487043
2023-12-11,112887.37929277922,122660.99858328496,110372.30437770156,108067.98552131541,113139.92910647545
2023-12-12,113150.25222729982,123221.2238171547,110598.8294964255,108334.44467335001,113459.15555972754
2023-12-13,115280.29777326588,124920.45670348717,112656.32230000064,110406.90278199027,115522.98813886821
2023-12-14,116569.81567396088,125321.3785937457,113911.29605849671,111624.06343612683,116719.2861586639
2023-12-15,116033.06341807802,125115.03203657031,113368.09658826412,111122.28099449078,116305.45241706705
2023-12-18,116160.79675893414,125818.81285037538,113470.32307422985,111210.60267537268,116426.76813629885
2023-12-19,116898.71230260025,126583.90073356748,114188.49777022723,111871.0567045744,117117.3737863099
2023-12-20,115912.0661970177,124829.79660291823,113263.12802681126,110954.50629187649,116249.91726287543
2023-12-21,116929.9750165525,126013.42152970238,114212.8071426401,111726.01966304274,117088.63308017388
2023-12-22,116962.99032772289,126266.66957890545,114240.52751526888,111744.53590910068,117103.05214651827
2023-12-26,117585.48192868785,126799.8343358605,114839.0167506289,112282.9830982422,117658.85998496642
2023-12-27,118264.7381276891,127029.08976258656,115487.19593482593,112907.49881044072,118373.7040725029
2023-12-28,118202.89085947414,127077.06667097959,115409.67490206161,112824.08773657733,118196.8373519209
2023-12-29,117715.90082922234,126709.19924497449,114936.16023271196,112291.86139996484,117681.60097959565
2024-01-02,117006.19839507037,126000.0913687084,114251.55121573618,111575.75396255996,116913.17698180996
2024-01-03,116090.77994448235,124971.0763017083,113362.33143428963,110681.80348231249,116107.01667518323
2024-01-04,115665.7746901964,124568.52878206027,112911.10282815054,110206.91967602872,115564.12802264918
2024-01-05,115569.50563826496,124739.16151203222,112810.75233892378,110097.73178406266,115518.11562767097
2024-01-08,116585.92101701278,126519.92596466947,113828.94770988563,111119.91125567425,116837.25952505149
2024-01-09,116092.53951246737,126327.97664829249,113322.91725206096,110634.97877321423,116481.5953088353
2024-01-10,116275.37484461928,127042.42826014156,113502.7462740934,110843.74255026093,116840.27342072675
2024-01-11,116379.5511011972,126986.45658977653,113606.24477695633,110910.73428444169,116945.50830933088
2024-01-12,116725.83228159932,127074.39897146863,113931.14273072907,111224.79501190806,117209.52525080733
